Author
Michael Matzenberger
Dongwoo Lim
Mikihito Tanaka
Sagar Joglekar
Varun Tandon
Vrushabh Vilas Wadnere
Michael Vincent Arnold
Peter Dodds
Sanja Šćepanović
Jason Rentfrow
Gabriele Etta
Michele Avalle
Rachith Aiyappa
Suyash Fulay
Jisu Kim
Alina Sîrbu
Fosca Giannotti
Hillel Rapoport
Katharina Lawall
Hendrik Erz
Alejandro Hermida Carrillo
Alfredo Hernandez Sanchez
Nicholas J Pangakis
Samuel Wolken
Neil Fasching
Sami Alexej Nenno
Yiyan Zhang
Qin Li
Ruhao Liu
Zishan Lan
Xiaoya Chen
Tobin South
Guy Zyskind
Clemens M. Lechner
Beatrice Rammstedt
Vera Sosnovik
Linda Li
Balazs Vedres
Orsolya Vasarhelyi
Marieke Van Hoof
Corine Meppelink
Fan Liang
Yuchen Cao
Zsófia Rakovics
Márton Rakovics
Yan Xia
Antti Gronow
Arttu Malkamäki
Tuomas Ylä-Anttila
Pablo Moral
Huma Rasheed
Casey Randazzo
Melissa J Dreier
Akeela Careem
Li Liao
Wenna Chen
Sawa Yoshioka
Rens Vliegenthart
Jeroen Jonkman
Shaun Bevan
Christoffer Green-Pedersen
Alessia Antelmi
Daniele De Vinco
Carmine Spagnuolo
Gennaro Cordasco
Duilio Balsamo
Jakob Schlierf
Lui Ruck
Jacob R Brown
Enrico Cantoni
Sahil Chinoy
Martin Koenen
Vincent Pons
Khalid K Osman
Florian Barbaro
Andy Skumanich
Roberto Ulloa
Layla Bouzoubaa
Shadi Rezapour
Denis E Hudon
Mohamed Abouelenien
Mihai Burzo
Rada Mihalcea
Anya Hommadova Lu
Karim Hamade
Belén C Saldías Fuentes
Dimitra Dimitrakopoulou
Savvas Zannettou
Tornike Tsereteli
Simone Paolo Ponzetto
Zexun Chen
Sean Kelty
Alexandre Evsukoff
Brooke Foucault Welles
James Bagrow
Gwyneth Sutherlin
Adam H. Russell
Akira Tsurushima
Piyush Ghasiya
Balaraju Battu
Renzo Bianchi
Debora Nozza
Francesco Barbieri
Sharon Kang
Nguyen Luong
Ian Barnett
Amirhossein Nakhaei
Jiani Yan
Toshiya Saito
Athina Anastasiadou
Artem Volgin
Douglas Leasure
Mohammad Atari
Nour Kteily
Masanori Hirano
Kiyoshi Izumi
Veronika Batzdorfer
Julia Huschens
Holger Steinmetz
Laura Casanovas Buliart
Priscila Alvarez-Cueva
Carlos Castillo
Karmanya Aggarwal
Baird Howland
Mareike Wieland
Gerret von Nordheim
Katharina Kleinen
Luiz Neves
Xuanjun Jason Gong
Likun Cao
Qiankun Zhong
Kenjiro Inoue
Michelangelo Rossi
Tommaso Bondi
Ryan Louis Stevens
Samar Haider
Chris Callison-Burch
Lin Ai
Yu-Wen Chen
Yuwen Yu
Seoyoung Kweon
Julia Hirschberg
Sarah Ita Levitan
Eladio Montero-Porras
Jelena Grujić
Navya Suri
Abdullah Zameek
